CustomerID,Gender,Age,Annual_Income,Spending_Score,Purchase_Frequency
1,Male,19,15000,39,3
2,Male,21,15000,81,8
3,Female,20,16000,6,2
4,Female,23,16000,77,7
5,Female,31,17000,40,4
6,Female,22,17000,76,9
7,Female,35,18000,6,2
8,Female,23,18000,94,10
9,Male,64,19000,3,1
10,Female,30,19000,72,8
11,Male,67,19000,14,2
12,Female,35,19000,99,10
13,Female,58,20000,15,2
14,Female,24,20000,77,8
15,Male,37,20000,13,2
16,Male,22,20000,79,9
17,Female,35,21000,35,4
18,Male,20,21000,66,7
19,Male,52,23000,29,3
20,Female,35,23000,98,10
21,Male,35,24000,35,4
22,Male,25,24000,73,8
23,Female,46,25000,14,2
24,Male,31,25000,71,7
25,Female,54,28000,18,2
26,Male,29,28000,73,8
27,Female,45,28000,26,3
28,Male,35,28000,81,9
29,Female,40,29000,31,3
30,Female,23,29000,74,8
31,Male,60,30000,4,1
32,Female,21,30000,72,8
33,Male,53,33000,90,10
34,Male,18,33000,88,9
35,Female,49,33000,35,4
36,Female,21,33000,82,9
37,Female,42,34000,32,3
38,Female,30,34000,92,10
39,Male,36,37000,32,3
40,Female,20,37000,88,9
41,Female,65,38000,16,2
42,Male,24,38000,79,8
43,Male,48,39000,17,2
44,Female,31,39000,83,9
45,Female,49,39000,26,3
46,Female,24,39000,74,8
47,Female,50,40000,20,2
48,Male,27,40000,58,6
49,Male,29,40000,26,3
50,Female,31,40000,29,3
51,Male,49,42000,31,3
52,Female,33,42000,75,8
53,Male,31,43000,22,2
54,Male,59,43000,27,3
55,Female,50,43000,23,2
56,Male,47,43000,73,8
57,Female,51,44000,33,3
58,Female,69,44000,14,2
59,Female,27,46000,80,9
60,Male,53,46000,19,2
61,Male,70,46000,15,2
62,Male,19,46000,75,8
63,Female,67,47000,23,2
64,Female,32,47000,71,7
65,Male,57,48000,19,2
66,Male,46,48000,74,8
67,Female,55,48000,35,4
68,Female,22,48000,71,7
69,Female,34,49000,31,3
70,Male,50,49000,25,3
71,Male,68,50000,22,2
72,Female,18,50000,77,8
73,Male,48,51000,27,3
74,Female,40,51000,42,5
75,Male,32,51000,31,3
76,Female,24,51000,72,8
77,Male,47,52000,23,2
78,Female,27,52000,80,9
79,Male,48,53000,18,2
80,Female,20,53000,76,8
81,Female,23,54000,77,8
82,Male,49,54000,21,2
83,Female,67,54000,20,2
84,Female,26,54000,75,8
85,Male,49,54000,23,2
86,Female,21,54000,71,7
87,Female,66,54000,19,2
88,Male,23,59000,72,8
89,Female,48,59000,15,2
90,Male,67,60000,11,1
91,Male,53,60000,50,5
92,Female,18,60000,83,9
93,Male,21,60000,55,6
94,Female,51,61000,23,2
95,Female,19,61000,72,8
96,Female,46,62000,22,2
97,Female,31,62000,73,8
