CustomerID,Gender,Age,Annual_Income,Spending_Score,Purchase_Frequency,Gender_Encoded,Cluster,Segment,PCA1,PCA2
1,Male,19,15000,39,3,0,0,📊 Segment 1,0.1943562618739255,-1.830909403790693
2,Male,21,15000,81,8,0,1,❤️ Loyal Customers,2.188084464817954,-1.5703123920898812
3,Female,20,16000,6,2,1,0,📊 Segment 1,-0.8383398646914638,-1.9223795278040194
4,Female,23,16000,77,7,1,1,❤️ Loyal Customers,1.7908515749608316,-1.5615104146718728
5,Female,31,17000,40,4,1,0,📊 Segment 1,-0.0645351625565938,-1.6682745470001727
6,Female,22,17000,76,9,1,1,❤️ Loyal Customers,2.246067147556938,-1.493966868606809
7,Female,35,18000,6,2,1,0,📊 Segment 1,-1.4644614700770968,-1.7671797749991862
8,Female,23,18000,94,10,1,1,❤️ Loyal Customers,2.8424919089978475,-1.3749660380564523
9,Male,64,19000,3,1,0,0,📊 Segment 1,-2.9599387706354974,-1.591166387580242
10,Female,30,19000,72,8,1,1,❤️ Loyal Customers,1.598083975110027,-1.416674078958882
11,Male,67,19000,14,2,0,0,📊 Segment 1,-2.6085011585602134,-1.514812477944905
12,Female,35,19000,99,10,1,1,❤️ Loyal Customers,2.459224301762088,-1.2537976946567124
13,Female,58,20000,15,2,1,0,📊 Segment 1,-2.2128012889664923,-1.5341640525440048
14,Female,24,20000,77,8,1,1,❤️ Loyal Customers,1.9625426091106046,-1.4048145056291228
15,Male,37,20000,13,2,0,0,📊 Segment 1,-1.3871439098305554,-1.6681874607509128
16,Male,22,20000,79,9,0,1,❤️ Loyal Customers,2.3115773944835944,-1.3880584372991376
17,Female,35,21000,35,4,1,0,📊 Segment 1,-0.3534541139748474,-1.5320067615269723
18,Male,20,21000,66,7,0,1,❤️ Loyal Customers,1.651137141592997,-1.4551865691728667
19,Male,52,23000,29,3,0,0,📊 Segment 1,-1.4219903093463835,-1.4065560966359867
20,Female,35,23000,98,10,1,1,❤️ Loyal Customers,2.4298465418981556,-1.128827727392979
21,Male,35,24000,35,4,0,0,📊 Segment 1,-0.35797872050787544,-1.4358430949071976
22,Male,25,24000,73,8,0,1,❤️ Loyal Customers,1.8215896490516355,-1.2835165936049533
23,Female,46,25000,14,2,1,0,📊 Segment 1,-1.745203090183876,-1.4500120431203327
24,Male,31,25000,71,7,0,1,❤️ Loyal Customers,1.3048852745595614,-1.2439272686016847
25,Female,54,28000,18,2,1,0,📊 Segment 1,-1.9886706659868076,-1.292273681330038
26,Male,29,28000,73,8,0,1,❤️ Loyal Customers,1.6493954533995232,-1.131007533651925
27,Female,45,28000,26,3,1,0,📊 Segment 1,-1.2087837465469837,-1.298537049762585
28,Male,35,28000,81,9,0,1,❤️ Loyal Customers,1.8061771718090662,-1.0461802603594883
29,Female,40,29000,31,3,1,0,📊 Segment 1,-0.8858654592817582,-1.280604766984493
30,Female,23,29000,74,8,1,1,❤️ Loyal Customers,1.920474282787188,-1.132140979906028
31,Male,60,30000,4,1,0,0,📊 Segment 1,-2.7870226564952967,-1.2596088595384316
32,Female,21,30000,72,8,1,1,❤️ Loyal Customers,1.9553568717737595,-1.1187283530546985
33,Male,53,33000,90,10,0,1,❤️ Loyal Customers,1.4802786696592323,-0.7249594410914751
34,Male,18,33000,88,9,0,1,❤️ Loyal Customers,2.668236713494269,-0.9664057590097528
35,Female,49,33000,35,4,1,0,📊 Segment 1,-0.9531173944018886,-1.0623341627712228
36,Female,21,33000,82,9,1,1,❤️ Loyal Customers,2.403545966368843,-0.9676771600405498
37,Female,42,34000,32,3,1,0,📊 Segment 1,-0.9531422124876142,-1.1049383154922388
38,Female,30,34000,92,10,1,1,❤️ Loyal Customers,2.4808883447011105,-0.8260806930712603
39,Male,36,37000,32,3,0,0,📊 Segment 1,-0.70842473860853,-1.0452109055624574
40,Female,20,37000,88,9,1,1,❤️ Loyal Customers,2.5791232113128606,-0.8260421179533888
41,Female,65,38000,16,2,1,0,📊 Segment 1,-2.507386404158897,-0.911424831791066
42,Male,24,38000,79,8,0,1,❤️ Loyal Customers,1.9820848722188928,-0.8213359961185439
43,Male,48,39000,17,2,0,0,📊 Segment 1,-1.7793637606823596,-0.9793580819768233
44,Female,31,39000,83,9,1,1,❤️ Loyal Customers,2.0024382371024947,-0.7113744774217123
45,Female,49,39000,26,3,1,0,📊 Segment 1,-1.3915353574428282,-0.9216461010300823
46,Female,24,39000,74,8,1,1,❤️ Loyal Customers,1.8638519142750756,-0.805522715058447
47,Female,50,40000,20,2,1,0,📊 Segment 1,-1.7939178028710552,-0.9254133428523372
48,Male,27,40000,58,6,0,1,❤️ Loyal Customers,0.9256750742480327,-0.8520320643784118
49,Male,29,40000,26,3,0,0,📊 Segment 1,-0.5622366249134629,-1.011045734456802
50,Female,31,40000,29,3,1,0,📊 Segment 1,-0.5752824649244823,-0.9891555508722407
51,Male,49,42000,31,3,0,0,📊 Segment 1,-1.2793352082097151,-0.8092411599304796
52,Female,33,42000,75,8,1,1,❤️ Loyal Customers,1.5088091382771072,-0.6514564085077167
53,Male,31,43000,22,2,0,0,📊 Segment 1,-0.9624859191259373,-0.9381346459589438
54,Male,59,43000,27,3,0,0,📊 Segment 1,-1.7896266823538247,-0.729452529491095
55,Female,50,43000,23,2,1,0,📊 Segment 1,-1.7284075559443985,-0.8195049115446658
56,Male,47,43000,73,8,0,1,❤️ Loyal Customers,0.8790461794980456,-0.5408804304830718
57,Female,51,44000,33,3,1,0,📊 Segment 1,-1.3187424037293147,-0.7264901201620342
58,Female,69,44000,14,2,1,0,📊 Segment 1,-2.7292869064728174,-0.701303170550119
59,Female,27,46000,80,9,1,1,❤️ Loyal Customers,2.088007355340486,-0.5210281911234642
60,Male,53,46000,19,2,0,0,📊 Segment 1,-1.9509330072963957,-0.718116136163757
61,Male,70,46000,15,2,0,0,📊 Segment 1,-2.7504987064102937,-0.6278730951259716
62,Male,19,46000,75,8,0,1,❤️ Loyal Customers,2.0843411838613317,-0.6082561186246686
63,Female,67,47000,23,2,1,0,📊 Segment 1,-2.4406262591560877,-0.5880506287633185
64,Female,32,47000,71,7,1,1,❤️ Loyal Customers,1.2301644799153368,-0.5326543372750054
65,Male,57,48000,19,2,0,0,📊 Segment 1,-2.120110798593156,-0.6297161872905783
66,Male,46,48000,74,8,0,1,❤️ Loyal Customers,0.9363904664982458,-0.3834321073358142
67,Female,55,48000,35,4,1,0,📊 Segment 1,-1.2249825074791414,-0.5450795729823564
68,Female,22,48000,71,7,1,1,❤️ Loyal Customers,1.6440597450911816,-0.5613268762184028
69,Female,34,49000,31,3,1,0,📊 Segment 1,-0.6667874224231662,-0.6759499128759889
70,Male,50,49000,25,3,0,0,📊 Segment 1,-1.4715026771081687,-0.5982760910784669
71,Male,68,50000,22,2,0,0,📊 Segment 1,-2.5100361635776958,-0.48906250759117714
72,Female,18,50000,77,8,1,1,❤️ Loyal Customers,2.1665386241924365,-0.4796140961213699
73,Male,48,51000,27,3,0,0,📊 Segment 1,-1.34474848568636,-0.5398158891033505
74,Female,40,51000,42,5,1,0,📊 Segment 1,-0.22372306531346137,-0.4948637863810875
75,Male,32,51000,31,3,0,0,📊 Segment 1,-0.5867231333078141,-0.6239862206928037
76,Female,24,51000,72,8,1,1,❤️ Loyal Customers,1.799063585836507,-0.42736455837127985
77,Male,47,52000,23,2,0,0,📊 Segment 1,-1.6173603353374264,-0.5492320400303387
78,Female,27,52000,80,9,1,1,❤️ Loyal Customers,2.0789581422744297,-0.3287008578839149
79,Male,48,53000,18,2,0,0,📊 Segment 1,-1.7771336400165956,-0.5273460495219097
80,Female,20,53000,76,8,1,1,❤️ Loyal Customers,2.055588373035476,-0.37455326550089646
81,Female,23,54000,77,8,1,1,❤️ Loyal Customers,1.9528040818049721,-0.3210323267200093
82,Male,49,54000,21,2,0,0,📊 Segment 1,-1.750147335469939,-0.4794740198457557
83,Female,67,54000,20,2,1,0,📊 Segment 1,-2.5212185278595043,-0.37341350467174117
84,Female,26,54000,75,8,1,1,❤️ Loyal Customers,1.7814931392924593,-0.30931070816694384
85,Male,49,54000,23,2,0,0,📊 Segment 1,-1.7034574331634826,-0.4729775100538245
86,Female,21,54000,71,7,1,1,❤️ Loyal Customers,1.6765508787604775,-0.3750722524271858
87,Female,66,54000,19,2,1,0,📊 Segment 1,-2.5030231322773804,-0.382734469016039
88,Male,23,59000,72,8,0,1,❤️ Loyal Customers,1.8285383151504508,-0.17700082350021307
89,Female,48,59000,15,2,1,0,📊 Segment 1,-1.8562177065423364,-0.34476348097025733
90,Male,67,60000,11,1,0,0,📊 Segment 1,-2.959636490900444,-0.23272544293060088
91,Male,53,60000,50,5,0,0,📊 Segment 1,-0.5905617832462966,-0.1014415245257198
92,Female,18,60000,83,9,1,1,❤️ Loyal Customers,2.510790498930875,-0.11717403391160928
93,Male,21,60000,55,6,0,1,❤️ Loyal Customers,1.0747182576469403,-0.2571219749578048
94,Female,51,61000,23,2,1,0,📊 Segment 1,-1.7970955418779189,-0.23645020237768596
95,Female,19,61000,72,8,1,1,❤️ Loyal Customers,1.991683297736507,-0.13718255021369224
96,Female,46,62000,22,2,1,0,📊 Segment 1,-1.6142469615320627,-0.23800744897538786
97,Female,31,62000,73,8,1,1,❤️ Loyal Customers,1.5150358858878343,-0.02900722639781501
98,Male,24,62000,34,4,0,0,📊 Segment 1,0.018308459676080243,-0.2878180432176729
99,Male,32,62000,25,3,0,0,📊 Segment 1,-0.7433830641816197,-0.29087563912942394
100,Female,33,63000,72,8,1,1,❤️ Loyal Customers,1.4071020390862259,0.0119444931428087
101,Male,32,63000,48,5,0,1,❤️ Loyal Customers,0.2305709893566124,-0.13930126611285326
102,Female,24,63000,76,8,1,1,❤️ Loyal Customers,1.8743449643173076,-0.0297168723083189
103,Male,33,65000,28,3,0,0,📊 Segment 1,-0.7194131639903152,-0.17889449837342025
104,Female,38,65000,73,8,1,1,❤️ Loyal Customers,1.2197288522073417,0.10966540636028521
105,Male,47,65000,28,3,0,0,📊 Segment 1,-1.3009780182852442,-0.093876566096769
106,Female,35,65000,82,9,1,1,❤️ Loyal Customers,1.7737186423882816,0.14308654951369737
107,Male,45,68000,32,3,0,0,📊 Segment 1,-1.129042126734655,0.0031347012102035834
108,Female,32,68000,18,2,1,0,📊 Segment 1,-1.1351111249161028,-0.14369106759635233
109,Female,36,69000,83,9,1,1,❤️ Loyal Customers,1.7494904380954537,0.2806257360176947
110,Male,32,70000,36,4,0,0,📊 Segment 1,-0.27939002932168794,0.02369658648031509
